Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Modifications
Q6MG48,Protein PRRC2A OS=Rattus norvegicus OX=10116 GN=Prrc2a PE=1 SV=1,3,4,4,4,1,2161,228.9,9.45,8.68,4,Oxidation [P1400; P1419; P1806; P1814]
O35867,Neurabin-1 OS=Rattus norvegicus OX=10116 GN=Ppp1r9a PE=1 SV=1,6,4,4,4,1,1095,122.7,5.14,8.67,4,Oxidation [P171; K179; P343]
Q63164,Dynein axonemal heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Dnah1 PE=2 SV=2,1,4,4,4,1,4516,514.7,5.9,8.63,4,Oxidation [P2002; P2284; K2287; P2292]
O88778,Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=1 SV=3,2,4,4,4,1,3938,418.2,7.71,8.49,4,Oxidation [P258; K1919; P2680]
Q9ERH3,WD repeat-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Wdr7 PE=1 SV=1,4,3,4,3,1,1488,163.1,7.02,8.44,3,Oxidation [K948; P1062; P1184; P1185; P1187]
O88658,Kinesin-like protein KIF1B OS=Rattus norvegicus OX=10116 GN=Kif1b PE=1 SV=2,3,4,4,3,1,1816,204,5.64,8.37,4,Oxidation [P333; P1221]
Q5XHX9,Tesmin OS=Rattus norvegicus OX=10116 GN=Tesmin PE=1 SV=2,11,3,4,3,1,475,50.4,5.47,8.37,3,Oxidation [P139; K175; P374]
P70478,Adenomatous polyposis coli protein OS=Rattus norvegicus OX=10116 GN=Apc PE=1 SV=1,2,3,4,3,1,2842,310.3,7.37,8.11,3,Oxidation [P1466]
Q01956,Potassium voltage-gated channel subfamily C member 3 OS=Rattus norvegicus OX=10116 GN=Kcnc3 PE=1 SV=1,9,3,4,3,1,889,94.3,7.06,8.01,3,Oxidation [P25; P27; P39; P40; P41; P48; P678; P689]
D3ZAP3,Microtubule-associated protein 10 OS=Rattus norvegicus OX=10116 GN=Map10 PE=3 SV=1,2,2,4,2,1,888,96.2,8.29,7.98,2,Oxidation [P795; K799]
Q63540,Ataxin-1 OS=Rattus norvegicus OX=10116 GN=Atxn1 PE=2 SV=1,7,2,4,2,1,789,83.4,8.16,7.97,2,Oxidation [P149; P150; P467]
D4A1F2,[F-actin]-monooxygenase MICAL2 OS=Rattus norvegicus OX=10116 GN=Mical2 PE=1 SV=2,2,4,4,4,1,1948,217.3,8.56,7.94,4,Oxidation [P364; P628; K1631; P1678]
P41516,DNA topoisomerase 2-alpha OS=Rattus norvegicus OX=10116 GN=Top2a PE=1 SV=1,3,3,4,3,1,1526,173.1,8.73,7.7,3,Oxidation [P46; P940]
Q641X2,RNA polymerase-associated protein LEO1 OS=Rattus norvegicus OX=10116 GN=Leo1 PE=1 SV=1,7,3,4,3,1,678,76.9,4.44,7.54,3,Oxidation [P356; P364; P366; P375; K376]
Q9JKU3,Intraflagellar transport protein 172 homolog OS=Rattus norvegicus OX=10116 GN=Ift172 PE=1 SV=1,2,3,4,2,1,1749,197.5,6.05,7.52,3,Oxidation [K279]
Q6GX86,Homologous recombination OB-fold protein OS=Rattus norvegicus OX=10116 GN=Hrob PE=2 SV=1,8,3,4,3,1,607,65.1,7.01,7.51,3,Oxidation [P19; P60; P283; P285]
Q5U2R7,LRP chaperone MESD OS=Rattus norvegicus OX=10116 GN=Mesd PE=2 SV=1,12,3,4,3,1,224,25.2,5.66,7.49,3,Oxidation [P92; P182]
F1LWT0,SUMO-interacting motif-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Simc1 PE=3 SV=3,4,2,4,2,1,1266,136.7,6.38,7.46,2,Oxidation [P561; P575; P687; P692; P701; P706]
P15207,Androgen receptor OS=Rattus norvegicus OX=10116 GN=Ar PE=1 SV=1,7,3,4,3,1,902,98.2,6.71,7.37,3,Oxidation [P131; P132; P140; P454; P459; P462; P638]
F1MA98,Nucleoprotein TPR OS=Rattus norvegicus OX=10116 GN=Tpr PE=1 SV=1,2,4,4,4,1,2360,267.1,5,7.21,4,Oxidation [K322]
O35547,Long-chain-fatty-acid--CoA ligase 4 OS=Rattus norvegicus OX=10116 GN=Acsl4 PE=1 SV=2,5,2,4,2,1,711,79,8.35,7.2,2,Oxidation [P263; P264; P267]
P20650,Protein phosphatase 1A OS=Rattus norvegicus OX=10116 GN=Ppm1a PE=1 SV=1,5,2,4,2,1,382,42.4,5.36,7.14,2,Oxidation [P166; P169]
D3ZQL6,MICAL-like protein 1 OS=Rattus norvegicus OX=10116 GN=Micall1 PE=1 SV=1,9,3,4,3,1,855,92.6,6.9,7.06,3,Oxidation [P127; P129; P447; P451; P456]
Q62768,Protein unc-13 homolog A OS=Rattus norvegicus OX=10116 GN=Unc13a PE=1 SV=1,1,2,4,2,1,1735,196.2,5.21,6.97,2,Oxidation [P1040]
P62630,Elongation factor 1-alpha 1 OS=Rattus norvegicus OX=10116 GN=Eef1a1 PE=2 SV=1,8,3,4,2,1,462,50.1,9.01,6.94,3,Oxidation [P333; P334; P391]
P31424,Metabotropic glutamate receptor 5 OS=Rattus norvegicus OX=10116 GN=Grm5 PE=1 SV=2,4,3,4,3,1,1203,131.8,7.78,6.68,3,Oxidation [P942; P950; P952; K953]
Q6AY57,WD repeat domain phosphoinositide-interacting protein 2 OS=Rattus norvegicus OX=10116 GN=Wipi2 PE=1 SV=1,10,3,4,3,1,445,48.5,5.86,6.48,3,Oxidation [P137; P138; P140; P376]
Q9QYC6,Prosaposin receptor GPR37 OS=Rattus norvegicus OX=10116 GN=Gpr37 PE=2 SV=1,6,2,4,2,1,603,66.9,7.97,6.47,2,Oxidation [P106; P110]
E9PSL7,Citron rho-interacting kinase OS=Rattus norvegicus OX=10116 GN=Cit PE=1 SV=1,1,2,4,1,1,2055,235.2,6.57,6.31,2,
P97573,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Rattus norvegicus OX=10116 GN=Inpp5d PE=1 SV=1",4,3,4,3,1,1190,133.5,7.4,6.21,3,Oxidation [P250; P252; P255; P260; P965; P968; P969; P1101]
P16884,Neurofilament heavy polypeptide OS=Rattus norvegicus OX=10116 GN=Nefh PE=1 SV=4,3,3,4,2,1,1072,115.3,5.85,6.19,3,Oxidation [K695; P697; K969]
Q9QVC8,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Rattus norvegicus OX=10116 GN=Fkbp4 PE=1 SV=3,7,3,4,3,1,458,51.4,5.62,6.18,3,Oxidation [P164; K354]
F1M4A4,Kinesin-like protein KIF1A OS=Rattus norvegicus OX=10116 GN=Kif1a PE=1 SV=3,3,3,4,2,1,1707,192.8,6.2,6.18,3,Oxidation [P333; P398; P401; K402]
P70549,Sodium/calcium exchanger 3 OS=Rattus norvegicus OX=10116 GN=Slc8a3 PE=1 SV=1,3,2,4,2,1,927,103.1,5.12,6.15,2,Oxidation [K290]
O88807,Protein-arginine deiminase type-4 OS=Rattus norvegicus OX=10116 GN=Padi4 PE=2 SV=1,3,2,4,2,1,666,74.4,7.5,5,2,Oxidation [K207; K597]
P18266,Glycogen synthase kinase-3 beta OS=Rattus norvegicus OX=10116 GN=Gsk3b PE=1 SV=1,11,2,4,2,1,420,46.7,8.78,4.76,2,Oxidation [P379; P380; P391]
Q5XIC2,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ecsit PE=1 SV=1",7,2,4,2,1,434,49.6,6.43,4.72,2,Oxidation [P410; P415; K416; P418]
P27008,Poly [ADP-ribose] polymerase 1 OS=Rattus norvegicus OX=10116 GN=Parp1 PE=1 SV=4,5,2,4,2,1,1014,112.6,8.97,4.67,2,Oxidation [K389; P390; P496; K497]
E9PT23,Putative sodium-coupled neutral amino acid transporter 10 OS=Rattus norvegicus OX=10116 GN=Slc38a10 PE=1 SV=2,2,2,4,2,1,1099,118.7,5.83,4.45,2,Oxidation [P527; P532; K631; P632]
P10719,"ATP synthase subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1b PE=1 SV=2",5,2,3,2,1,529,56.3,5.34,9.28,2,
P97578,Fasciculation and elongation protein zeta-2 OS=Rattus norvegicus OX=10116 GN=Fez2 PE=2 SV=2,12,2,3,2,1,375,42.1,4.67,8.76,2,Oxidation [P44]
D3ZKB9,Teashirt homolog 3 OS=Rattus norvegicus OX=10116 GN=Tshz3 PE=1 SV=2,6,3,3,3,1,1072,117.4,6.8,8.5,3,Oxidation [P21; P30; P46; P52]
Q6AYZ1,Tubulin alpha-1C chain OS=Rattus norvegicus OX=10116 GN=Tuba1c PE=1 SV=1,7,2,3,2,1,449,49.9,5.1,8.47,2,
Q925G1,Hepatoma-derived growth factor-related protein 2 OS=Rattus norvegicus OX=10116 GN=Hdgfl2 PE=1 SV=2,5,2,3,2,1,669,74,7.88,8.15,2,Oxidation [P246; P252; P254; K274]
O70244,Cubilin OS=Rattus norvegicus OX=10116 GN=Cubn PE=1 SV=2,2,3,3,3,1,3623,398.7,5.69,8.03,3,Oxidation [P346; P2059]
Q91XT9,Neutral ceramidase OS=Rattus norvegicus OX=10116 GN=Asah2 PE=1 SV=1,6,2,3,2,1,761,83.4,7.01,7.94,2,Oxidation [P403]
P0CB49,YLP motif-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Ylpm1 PE=1 SV=1,5,3,3,3,1,1376,154.2,6.65,7.91,3,Oxidation [P111; P112; P114; P148; P151; P519; P520]
Q641Z8,Peflin OS=Rattus norvegicus OX=10116 GN=Pef1 PE=2 SV=1,12,2,3,2,1,283,30,6.07,7.81,2,Oxidation [P63; P67; P70; P75; P85; P88]
Q5XII0,Mammalian ependymin-related protein 1 OS=Rattus norvegicus OX=10116 GN=Epdr1 PE=1 SV=1,19,2,3,2,1,224,25.6,7.58,7.78,2,Oxidation [P36]
P70581,Nucleoporin p58/p45 OS=Rattus norvegicus OX=10116 GN=Nup58 PE=1 SV=1,9,2,3,2,1,585,59.2,9.29,7.73,2,Oxidation [P368; P445; P462; P466; P468]
Q05683,Glutamate decarboxylase 2 OS=Rattus norvegicus OX=10116 GN=Gad2 PE=1 SV=1,9,3,3,3,1,585,65.4,6.9,7.66,3,Oxidation [P20; P23; P153; P231]
Q8K4C8,Frizzled-9 OS=Rattus norvegicus OX=10116 GN=Fzd9 PE=2 SV=1,9,3,3,3,1,592,64.9,8.28,7.65,3,Oxidation [P183; P184; K202]
Q5RKH1,Serine/threonine-protein kinase PRP4 homolog OS=Rattus norvegicus OX=10116 GN=Prpf4b PE=1 SV=1,4,3,3,3,1,1007,116.9,10.23,7.64,3,Oxidation [P564; P567; P570; P581]
Q63796,Mitogen-activated protein kinase kinase kinase 12 OS=Rattus norvegicus OX=10116 GN=Map3k12 PE=1 SV=1,10,3,3,3,1,888,96.2,6.19,7.62,3,Oxidation [P75; P670; P671; P676]
O55207,Synaptojanin-2 OS=Rattus norvegicus OX=10116 GN=Synj2 PE=1 SV=2,4,3,3,3,1,1496,165.2,7.34,7.59,3,Oxidation [K1070; P1257; P1280; P1281]
Q700K0,SCO-spondin OS=Rattus norvegicus OX=10116 GN=Sspo PE=2 SV=1,1,2,3,2,1,5141,550.3,5.58,7.54,2,Oxidation [P3554; P3555; K3641; P3645]
Q9QXQ0,Alpha-actinin-4 OS=Rattus norvegicus OX=10116 GN=Actn4 PE=1 SV=2,5,3,3,3,1,911,104.8,5.44,7.45,3,Oxidation [P820; P889; P893]
D3ZN95,Host cell factor 1 OS=Rattus norvegicus OX=10116 GN=Hcfc1 PE=1 SV=1,4,3,3,3,1,2034,209,7.01,7.45,3,Oxidation [P560; P561; P565; K713; P1597]
Q62901,Arginine-glutamic acid dipeptide repeats protein OS=Rattus norvegicus OX=10116 GN=Rere PE=1 SV=2,4,3,3,3,1,1559,171.7,7.68,7.35,3,Oxidation [P900; P903; P904; P917; P1108; P1110; P1116]
F1MAD2,InaD-like protein OS=Rattus norvegicus OX=10116 GN=Patj PE=1 SV=2,4,3,3,3,1,1836,199.3,4.98,7.35,3,Oxidation [P1344; P1348; P1350; P1413; P1427; K1730; P1733; P1738]
P04937,Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=2,3,3,3,3,1,2477,272.3,5.76,7.33,3,Oxidation [P2116; P2127]
D3ZU96,Ubiquitin carboxyl-terminal hydrolase 42 OS=Rattus norvegicus OX=10116 GN=Usp42 PE=1 SV=1,5,3,3,3,1,1325,146.3,8.27,7.28,3,Oxidation [P169; P175; P483]
Q63617,Hypoxia up-regulated protein 1 OS=Rattus norvegicus OX=10116 GN=Hyou1 PE=1 SV=1,4,3,3,3,1,999,111.2,5.19,7.23,3,Oxidation [K391; P666; P674; P678; P679; P681]
Q9JLI4,Nuclear receptor coactivator 6 (Fragment) OS=Rattus norvegicus OX=10116 GN=Ncoa6 PE=1 SV=2,8,3,3,3,1,418,45.5,9.51,7.22,3,Oxidation [P148; P159; P338]
Q4KLY2,F-box only protein 46 OS=Rattus norvegicus OX=10116 GN=Fbxo46 PE=2 SV=1,14,3,3,3,1,603,65.2,7.78,7.19,3,Oxidation [P140; K142; P144; P344; P348]
P49816,Tuberin OS=Rattus norvegicus OX=10116 GN=Tsc2 PE=1 SV=1,2,2,3,2,1,1809,201.2,7.27,7.18,2,Oxidation [P1628; K1634]
P15205,Microtubule-associated protein 1B OS=Rattus norvegicus OX=10116 GN=Map1b PE=1 SV=3,3,3,3,3,1,2461,269.5,4.81,7.13,3,Oxidation [P767; K772; P1813; P2203]
Q75N33,Protein transport protein Sec16B OS=Rattus norvegicus OX=10116 GN=Sec16b PE=1 SV=1,4,2,3,2,1,1057,116.8,6.09,7.11,2,Oxidation [P237]
F1M5F3,DNA helicase MCM9 OS=Rattus norvegicus OX=10116 GN=Mcm9 PE=3 SV=2,6,3,3,3,1,1124,124,7.23,7.1,3,Oxidation [P709; P712; P717; K723]
Q921A2,Proton myo-inositol cotransporter OS=Rattus norvegicus OX=10116 GN=Slc2a13 PE=1 SV=2,4,2,3,2,1,637,69.1,6.57,7.1,2,Oxidation [K445; P458; K461; P511]
Q9WUJ3,Myomegalin OS=Rattus norvegicus OX=10116 GN=Pde4dip PE=1 SV=1,2,3,3,3,1,2324,261.9,5.4,7.07,3,Oxidation [P1653]
Q9JK11,Reticulon-4 OS=Rattus norvegicus OX=10116 GN=Rtn4 PE=1 SV=1,2,2,3,2,1,1163,126.3,4.49,7.01,2,Oxidation [P631; P634; K745; K759]
Q7TMB7,Phospholipid phosphatase-related protein type 4 OS=Rattus norvegicus OX=10116 GN=Plppr4 PE=1 SV=1,4,2,3,2,1,766,83.3,8.84,6.98,2,Oxidation [P112; P116; P476]
Q99PF5,Far upstream element-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Khsrp PE=1 SV=1,9,3,3,3,1,721,74.2,6.86,6.98,3,Oxidation [P220; K245; P376; P377; P634; P637; P640]
Q6F6B3,Protein TANC1 OS=Rattus norvegicus OX=10116 GN=Tanc1 PE=1 SV=1,3,3,3,3,1,1849,200.4,8.28,6.94,3,Oxidation [P757; P1553; K1758]
O35828,Coronin-7 OS=Rattus norvegicus OX=10116 GN=Coro7 PE=1 SV=2,4,2,3,2,1,922,100.7,5.9,6.9,2,Oxidation [P429; P435; P438]
P21263,Nestin OS=Rattus norvegicus OX=10116 GN=Nes PE=1 SV=2,3,3,3,3,1,1893,208.7,4.34,6.89,3,Oxidation [P1535; P1557; P1618; P1621]
Q9QYV0,Disintegrin and metalloproteinase domain-containing protein 15 OS=Rattus norvegicus OX=10116 GN=Adam15 PE=2 SV=2,5,3,3,3,1,864,93.2,6.05,6.88,3,Oxidation [P22; P24; P776; P777; P779]
P85171,MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Rattus norvegicus OX=10116 GN=Mdga1 PE=1 SV=1,4,2,3,2,1,956,105.9,8.31,6.87,2,Oxidation [K872; P882]
Q62635,Mucin-2 (Fragment) OS=Rattus norvegicus OX=10116 GN=Muc2 PE=1 SV=1,4,3,3,3,1,1513,165.9,5.39,6.87,3,Oxidation [K653; P1025; P1031; P1393]
Q9JIX5,Chromodomain-helicase-DNA-binding protein 8 OS=Rattus norvegicus OX=10116 GN=Chd8 PE=1 SV=2,2,3,3,3,1,2581,290.5,6.46,6.86,3,Oxidation [P433; P438; K1324]
P37199,Nuclear pore complex protein Nup155 OS=Rattus norvegicus OX=10116 GN=Nup155 PE=1 SV=1,5,3,3,3,1,1390,154.9,6.24,6.82,3,Oxidation [P595; P622]
Q6MG49,Large proline-rich protein BAG6 OS=Rattus norvegicus OX=10116 GN=Bag6 PE=1 SV=2,3,3,3,3,1,1146,119.9,5.66,6.82,3,Oxidation [P217]
P17625,"Glycogen [starch] synthase, liver OS=Rattus norvegicus OX=10116 GN=Gys2 PE=1 SV=2",9,3,3,3,1,704,80.7,7.11,6.81,3,Oxidation [P274; P279; P441; P442; P639]
F1M0Z1,Triple functional domain protein OS=Rattus norvegicus OX=10116 GN=Trio PE=1 SV=4,2,3,3,3,1,3100,347.6,6.34,6.8,3,Oxidation [P749; K2131; K2141; P2685; P2686; P2691]
Q63862,Myosin-11 (Fragment) OS=Rattus norvegicus OX=10116 GN=Myh11 PE=1 SV=3,2,3,3,0,0,1327,152.4,6.18,6.79,3,
O54952,Breast cancer type 1 susceptibility protein homolog OS=Rattus norvegicus OX=10116 GN=Brca1 PE=1 SV=1,3,3,3,3,1,1817,199.8,5.81,6.77,3,Oxidation [P401; K425]
P15800,Laminin subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Lamb2 PE=1 SV=1,2,2,3,2,1,1801,196.3,6.79,6.75,2,Oxidation [P673; P838]
Q5XI02,Protein disulfide-isomerase-like protein of the testis OS=Rattus norvegicus OX=10116 GN=Pdilt PE=1 SV=1,5,2,3,2,1,590,68.2,5.85,6.74,2,
Q52KK4,H/ACA ribonucleoprotein complex non-core subunit NAF1 OS=Rattus norvegicus OX=10116 GN=Naf1 PE=1 SV=1,8,2,3,2,1,457,49.7,4.78,6.73,2,Oxidation [P26; P27; P28]
P10354,Chromogranin-A OS=Rattus norvegicus OX=10116 GN=Chga PE=1 SV=1,9,3,3,3,1,466,52,4.73,6.7,3,Oxidation [K240; K247; P325; P326]
Q5U4E6,Golgin subfamily A member 4 OS=Rattus norvegicus OX=10116 GN=Golga4 PE=1 SV=2,1,3,3,3,1,2259,260,5.35,6.68,3,Oxidation [K1351; K1361; K1859]
P20942,Phosducin OS=Rattus norvegicus OX=10116 GN=Pdc PE=1 SV=1,6,2,3,2,1,246,28.1,4.67,6.66,2,Oxidation [P44]
D4A615,Tonsoku-like protein OS=Rattus norvegicus OX=10116 GN=Tonsl PE=3 SV=1,3,2,3,2,1,1367,151.7,6.02,6.66,2,
Q5DWV1,Cadherin-20 OS=Rattus norvegicus OX=10116 GN=Cdh20 PE=2 SV=1,5,2,3,2,1,801,89,4.73,6.64,2,
Q5FWS6,Kazrin OS=Rattus norvegicus OX=10116 GN=Kazn PE=2 SV=2,3,2,3,2,1,780,86.9,6.79,6.62,2,
P15684,Aminopeptidase N OS=Rattus norvegicus OX=10116 GN=Anpep PE=1 SV=2,6,3,3,3,1,965,109.4,5.47,6.62,3,
A1A5P9,Melanoma-associated antigen E1 OS=Rattus norvegicus OX=10116 GN=Magee1 PE=2 SV=1,8,3,3,3,1,933,102.1,6.11,6.62,3,Oxidation [P54; P274]
Q9R095,Sperm flagellar protein 2 OS=Rattus norvegicus OX=10116 GN=Spef2 PE=1 SV=2,2,3,3,3,1,1801,208,5.9,6.61,3,Oxidation [K209; K219; K609; K618]
Q9R011,Serine/threonine-protein kinase PLK3 OS=Rattus norvegicus OX=10116 GN=Plk3 PE=1 SV=2,8,3,3,3,1,647,71.7,9.11,6.6,3,Oxidation [P3; P411; P455]
Q641W3,FMR1-interacting protein NUFIP1 OS=Rattus norvegicus OX=10116 GN=Nufip1 PE=1 SV=1,7,3,3,3,1,486,55.1,9.35,6.55,3,Oxidation [P10; P27; P28]
Q9R064,Golgi reassembly-stacking protein 2 OS=Rattus norvegicus OX=10116 GN=Gorasp2 PE=1 SV=3,11,3,3,3,1,454,47.2,4.96,6.55,3,Oxidation [P246; P247; P376; P387]
Q8K3K1,Usherin OS=Rattus norvegicus OX=10116 GN=Ush2a PE=1 SV=2,1,3,3,3,1,5125,562.6,6.76,6.54,3,Oxidation [P4812; P4814; P4815]
Q9JHS1,Endothelial PAS domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Epas1 PE=2 SV=1,2,2,3,2,1,874,96.7,5.73,6.52,2,Oxidation [P637; P639; P640; P642]
Q8CGS5,Zinc phosphodiesterase ELAC protein 2 OS=Rattus norvegicus OX=10116 GN=Elac2 PE=1 SV=1,5,3,3,3,1,827,92.3,7.37,6.49,3,Oxidation [P136; P470; P472; K611; P616; P618]
Q9JIR0,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Tspoap1 PE=1 SV=2,2,3,3,3,1,1847,200.1,5.25,6.47,3,Oxidation [P1342; P1349]
Q5PQJ5,Rho GTPase-activating protein 29 OS=Rattus norvegicus OX=10116 GN=Arhgap29 PE=1 SV=2,3,3,3,3,1,1266,141.9,7.01,6.4,3,Oxidation [P910; P912]
P54256,Huntingtin-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Hap1 PE=1 SV=1,5,3,3,3,1,629,70.2,4.77,6.39,3,Oxidation [P134; P136; P424; P477; P478]
P0DJJ3,SH3-containing GRB2-like protein 3-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Sgip1 PE=1 SV=1,5,3,3,3,1,827,88.5,8.03,6.39,3,Oxidation [P242; P244; P248; K254; P448; P451]
A1L131,CUE domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Cuedc2 PE=2 SV=1,9,2,3,2,1,267,30.3,5.21,6.38,2,Oxidation [P246]
P29348,Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Gnat3 PE=1 SV=3,6,2,3,2,1,354,40.3,5.88,6.37,2,Oxidation [P121]
P29266,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hibadh PE=1 SV=3",10,3,3,3,1,335,35.3,8.47,6.34,3,Oxidation [K78; P88; K94; P136]
P97528,Contactin-6 OS=Rattus norvegicus OX=10116 GN=Cntn6 PE=1 SV=1,6,3,3,3,1,1028,114,6.46,6.31,3,Oxidation [P597; P598; K605; K899]
O55000,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Rattus norvegicus OX=10116 GN=Ppp1r10 PE=1 SV=1,2,2,3,2,1,872,92.8,9.16,6.3,2,Oxidation [P622; P624; P630; P631]
Q63755,PR domain zinc finger protein 2 OS=Rattus norvegicus OX=10116 GN=Prdm2 PE=1 SV=1,2,3,3,3,1,1706,187.4,7.84,6.29,3,Oxidation [P526; P527; P736; P739]
O35923,Breast cancer type 2 susceptibility protein homolog OS=Rattus norvegicus OX=10116 GN=Brca2 PE=1 SV=1,1,3,3,3,1,3343,372,6.57,6.22,3,Oxidation [P1397]
P20689,"Myosin light chain kinase 2, skeletal/cardiac muscle OS=Rattus norvegicus OX=10116 GN=Mylk2 PE=1 SV=2",8,3,3,3,1,610,65.8,5.15,6.21,3,Oxidation [P20; K34; P54; P465]
Q3KR64,Uncharacterized protein CXorf49 homolog OS=Rattus norvegicus OX=10116 PE=1 SV=2,6,2,3,2,1,510,54.9,6.24,6.2,2,Oxidation [P185; K332; P335; P338]
A4L9P7,Sister chromatid cohesion protein PDS5 homolog A OS=Rattus norvegicus OX=10116 GN=Pds5a PE=1 SV=1,3,2,3,2,1,1333,150.2,7.93,6.17,2,Oxidation [P1175; P1313]
P12785,Fatty acid synthase OS=Rattus norvegicus OX=10116 GN=Fasn PE=1 SV=3,2,3,3,3,1,2505,272.5,6.39,6.15,3,Oxidation [P406; P964]
O88278,Cadherin EGF LAG seven-pass G-type receptor 3 OS=Rattus norvegicus OX=10116 GN=Celsr3 PE=1 SV=1,2,3,3,3,1,3313,359.1,6.61,6.15,3,Oxidation [P1056; P2019; P3088; P3090]
Q4KLY6,5' exonuclease Apollo OS=Rattus norvegicus OX=10116 GN=Dclre1b PE=1 SV=2,4,2,3,2,1,541,60.9,7.42,6.12,2,Oxidation [P313; K366]
Q62671,E3 ubiquitin-protein ligase UBR5 OS=Rattus norvegicus OX=10116 GN=Ubr5 PE=1 SV=3,2,3,3,3,1,2788,307.8,6.04,6.1,3,Oxidation [P2060; P2373]
Q80YN4,Atrial natriuretic peptide-converting enzyme OS=Rattus norvegicus OX=10116 GN=Corin PE=1 SV=2,3,2,3,0,0,1111,122.7,5.41,6.08,2,Oxidation [P178; P179; P184]
P70475,Myelin transcription factor 1-like protein OS=Rattus norvegicus OX=10116 GN=Myt1l PE=1 SV=3,3,3,3,3,1,1187,132.8,4.93,6.05,3,Oxidation [P835; K836; P950; P1169]
P39052,Dynamin-2 OS=Rattus norvegicus OX=10116 GN=Dnm2 PE=1 SV=1,2,2,3,2,1,870,98.2,7.43,6.02,2,Oxidation [P275; P319; P322]
Q6Y306,ATP-binding cassette sub-family C member 12 OS=Rattus norvegicus OX=10116 GN=Abcc12 PE=2 SV=1,3,3,3,3,1,1366,152.9,8.21,6,3,Oxidation [K746; P759; K1297]
Q5MYT7,2'-5'-oligoadenylate synthase 3 OS=Rattus norvegicus OX=10116 GN=Oas3 PE=2 SV=1,3,2,3,2,1,1137,126.1,8.35,5.98,2,Oxidation [P443; P457; K610; P611]
P14882,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Rattus norvegicus OX=10116 GN=Pcca PE=1 SV=3",4,3,3,3,1,737,81.6,7.69,5.95,3,Oxidation [P224]
Q71F54,E3 ubiquitin-protein ligase SH3RF1 OS=Rattus norvegicus OX=10116 GN=Sh3rf1 PE=1 SV=1,5,3,3,3,1,894,93.8,8.48,5.86,3,Oxidation [P329; P330; K523]
P41562,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Rattus norvegicus OX=10116 GN=Idh1 PE=1 SV=1,9,3,3,3,1,414,46.7,6.99,5.86,3,
D3ZA50,Kelch-like protein 15 OS=Rattus norvegicus OX=10116 GN=Klhl15 PE=2 SV=1,4,3,3,3,1,604,69.7,6.49,5.79,3,Oxidation [P411; P413; K416]
P05183,Cytochrome P450 3A2 OS=Rattus norvegicus OX=10116 GN=Cyp3a2 PE=1 SV=2,3,2,3,2,1,504,57.7,8.76,5.76,2,
Q3LRZ1,CREB-regulated transcription coactivator 2 OS=Rattus norvegicus OX=10116 GN=Crtc2 PE=1 SV=1,6,3,3,3,1,691,73.1,7.01,5.75,3,Oxidation [P163; P425]
O70260,E3 SUMO-protein ligase PIAS3 OS=Rattus norvegicus OX=10116 GN=Pias3 PE=1 SV=2,5,2,3,2,1,628,68.3,7.84,5.69,2,Oxidation [P235; P590]
O89040,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 OS=Rattus norvegicus OX=10116 GN=Plcb2 PE=2 SV=1",4,3,3,3,1,1183,134.8,6.09,5.68,3,Oxidation [P365; P366; K725; P728]
M0R8U1,Dynein axonemal heavy chain 5 (Fragment) OS=Rattus norvegicus OX=10116 GN=Dnah5 PE=1 SV=1,0,3,3,3,1,3470,395.7,6.06,5.64,3,Oxidation [P457]
Q64560,Tripeptidyl-peptidase 2 OS=Rattus norvegicus OX=10116 GN=Tpp2 PE=2 SV=3,2,3,3,3,1,1249,138.2,6.38,5.64,3,Oxidation [P277; P280; P287]
